name,number
,1360
Afghanistan,47
Albania,32
Algeria,43
Andaman,2
Andorra,25
Angola,18
Anguilla,2
Antigua and Barbuda,20
Argentina,4043
Armenia,58
Ascension and Tristan da Cunha,5
Asia,2
Australia,2360
Austria,177
Azerbaijan,24
Bahrain,35
Banda Sea,5
Bangladesh,108
Barbados,38
Belarus,68
Belgium,493
Belize,10
Benin,28
Bermuda,16
Bhutan,10
Bolivia,248
Bosnia and Herzegovina,13
Botswana,195
Brazil,6759
British Virgin Islands,2
Brunei,44
Bulgaria,23
Burkina Faso,25
Burundi,5
Cambodia,30
Cameroon,208
Canada,4775
Cape Verde,2
Cayman Islands,9
Central African Republic,6
Chad,9
Chile,1286
China,381
Colombia,2369
Comoros,6
Congo-Brazzaville,7
Cook Islands,2
Costa Rica,419
Croatia,52
Cuba,114
Cyprus,69
Czechia,91
Côte d'Ivoire,68
Democratic Republic of the Congo,9
Denmark,142
Djibouti,14
Dominica,2
Dominican Republic,557
East Timor,6
Ecuador,871
Egypt,142
El Salvador,397
Equatorial Guinea,5
Estonia,27
Eswatini,14
Ethiopia,31
Falkland Islands,2
Faroe Islands,3
Federated States of Micronesia,7
Fiji,107
Finland,120
France,3913
Gabon,21
Georgia,469
Germany,1379
Ghana,557
Gibraltar,13
Greece,241
Greenland,5
Grenada,6
Guatemala,324
Guernsey,12
Guinea,24
Guyana,17
Haiti,196
Honduras,207
Hungary,20
Iceland,9
India,9119
Indonesia,3298
Iran,52
Iraq,42
Ireland,1158
Isle of Man,15
Israel,205
Italy,2397
Jamaica,266
Japan,788
Jersey,6
Jordan,21
Kazakhstan,46
Kenya,555
Kosovo,18
Kuwait,25
Kyrgyzstan,38
Laos,11
Latvia,65
Lebanon,102
Lesotho,40
Liberia,17
Libya,10
Lithuania,14
Luxembourg,19
Madagascar,5
Malawi,36
Malaysia,1742
Maldives,104
Mali,20
Malta,23
Mauritania,3
Mauritius,14
Mexico,3977
Moldova,13
Monaco,8
Mongolia,357
Montenegro,19
Montserrat,5
Morocco,42
Mozambique,2
Myanmar,87
Namibia,74
Nepal,145
Netherlands,951
New Zealand,407
Nicaragua,168
Niger,29
Nigeria,1532
North Korea,2
North Macedonia,18
Norway,85
Oman,63
Pakistan,417
Palestinian Territory,13
Panama,606
Papua New Guinea,55
Paraguay,314
Peru,591
Philippines,1515
Poland,341
Portugal,343
Prague,2
Qatar,316
Red Sea,2
Romania,42
Russia,1102
Rwanda,112
Saint Kitts and Nevis,3
Saint Lucia,15
Saint Vincent and the Grenadines,7
San Marino,3
Saudi Arabia,649
Senegal,109
Serbia,82
Seychelles,4
Sierra Leone,14
Singapore,16
Slovakia,19
Slovenia,28
Solomon Islands,3
Somalia,133
South Africa,1927
South Korea,123
South Sudan,12
Spain,6401
Sri Lanka,249
Sudan,9
Suriname,6
Sweden,228
Switzerland,334
Syria,12
São Tomé and Príncipe,3
Taiwan,96
Tajikistan,3
Tanzania,116
Thailand,575
The Bahamas,61
The Bronx,4
The Gambia,21
Togo,13
Trinidad and Tobago,79
Tunisia,66
Turkey,1479
Turks and Caicos Islands,3
Uganda,448
Ukraine,230
United Arab Emirates,334
United Kingdom,9848
United States of America,8243
Uruguay,457
Uzbekistan,21
Vanuatu,4
Vatican City,2
Venezuela,952
Vietnam,88
Yemen,46
Zambia,219
Zimbabwe,114
